date;animals;latitude;longitude
25 January 1790;cattle;48.003847;3.681981
25 January 1790;sheep;48.004206;3.684513
29 January 1790;cattle,sheep,pigs;46.989129;3.151038
31 January 1790;horses;49.894228;2.297167
6 February 1790;cattle;45.893266;3.113375
8 February 1790;sheep;48.448266;1.488109
4 March 1790;cows;48.960217;1.857590
15 March 1790;calves;47.000118;2.816655
28 March 1790;cows;48.527322;2.573110
3 April 1790;horses;48.209617;6.718504
18 March 1790;livestock;47.855552;3.974243
20 March 1790;sheep;50.813360;1.703717
7 April 1790;sheep;48.837612;-1.592676
1 May 1790;horses;48.264718;2.706160
8 May 1790;pigs;3.880332;4.562034
26 May 1790;horses;48.630173;2.362424
26 May 1790;horses,cows;48.788512;1.600455
12 June 1790;horses,cattle,geese;48.757196;4.541799
15 June 1790;sheep;48.877569;2.153125
9 July 1790;cows;46.813275;3.277987
15 July 1790;cows;49.016437;1.146739
17 July 1790;cows;49.109271;1.212223
17 July 1790;horses,cows,pigs;48.593274;-1.504344
22 July 1790;cows;45.739427;0.386659
7 August 1790;pigs;46.721882;2.509210
8 August 1790;livestock;48.300596;-0.621497
13 August 1790;calves;48.900975;2.100888
26 August 1790;cows;49.142031;0.226665
27 August 1790;cows;44.838637;-0.577217
