name_as_written;latitude;longitude;icon
Saint-Pol-de-Léon ;48.68511300000001;-3.9865330000000085;
Brest;48.376549;-4.501305;
Stockholm;59.32932349999999;18.068580800000063;
Berlengas;39.41289559999999;-9.51312269999994;
Antilles;16.248429;-66.598241;
La Latte;48.67891106341384;-2.2590087354183197;
Grand Banks, Newfoundland;45;-53;
Brest;48.376549;-4.501305;
Quiberon Bay;47.50767349999999;-3.0144328000000087;
Haiti;18.594395;-72.30743259999997;
Brest;48.376549;-4.501305;
port-louis;-20.1608912;57.50122220000003;
Kerlaudy;48.6368;-3.970397;
